,HOY,DOY,Month,Day,Hour,Load
2016-01-01 00:00:00,1,1,1,1,1,570
2016-01-01 01:00:00,2,1,1,1,2,530
2016-01-01 02:00:00,3,1,1,1,3,520
2016-01-01 03:00:00,4,1,1,1,4,520
2016-01-01 04:00:00,5,1,1,1,5,510
2016-01-01 05:00:00,6,1,1,1,6,550
2016-01-01 06:00:00,7,1,1,1,7,610
2016-01-01 07:00:00,8,1,1,1,8,650
2016-01-01 08:00:00,9,1,1,1,9,730
2016-01-01 09:00:00,10,1,1,1,10,700
2016-01-01 10:00:00,11,1,1,1,11,690
2016-01-01 11:00:00,12,1,1,1,12,710
2016-01-01 12:00:00,13,1,1,1,13,710
2016-01-01 13:00:00,14,1,1,1,14,650
2016-01-01 14:00:00,15,1,1,1,15,670
2016-01-01 15:00:00,16,1,1,1,16,690
2016-01-01 16:00:00,17,1,1,1,17,740
2016-01-01 17:00:00,18,1,1,1,18,740
2016-01-01 18:00:00,19,1,1,1,19,760
2016-01-01 19:00:00,20,1,1,1,20,720
2016-01-01 20:00:00,21,1,1,1,21,710
2016-01-01 21:00:00,22,1,1,1,22,670
2016-01-01 22:00:00,23,1,1,1,23,640
2016-01-01 23:00:00,24,1,1,1,24,620
2016-01-02 00:00:00,25,2,1,2,1,570
2016-01-02 01:00:00,26,2,1,2,2,530
2016-01-02 02:00:00,27,2,1,2,3,520
2016-01-02 03:00:00,28,2,1,2,4,520
2016-01-02 04:00:00,29,2,1,2,5,510
2016-01-02 05:00:00,30,2,1,2,6,550
2016-01-02 06:00:00,31,2,1,2,7,610
2016-01-02 07:00:00,32,2,1,2,8,650
2016-01-02 08:00:00,33,2,1,2,9,730
2016-01-02 09:00:00,34,2,1,2,10,700
2016-01-02 10:00:00,35,2,1,2,11,690
2016-01-02 11:00:00,36,2,1,2,12,710
2016-01-02 12:00:00,37,2,1,2,13,710
2016-01-02 13:00:00,38,2,1,2,14,650
2016-01-02 14:00:00,39,2,1,2,15,670
2016-01-02 15:00:00,40,2,1,2,16,690
2016-01-02 16:00:00,41,2,1,2,17,740
2016-01-02 17:00:00,42,2,1,2,18,740
2016-01-02 18:00:00,43,2,1,2,19,760
2016-01-02 19:00:00,44,2,1,2,20,720
2016-01-02 20:00:00,45,2,1,2,21,710
2016-01-02 21:00:00,46,2,1,2,22,670
2016-01-02 22:00:00,47,2,1,2,23,640
2016-01-02 23:00:00,48,2,1,2,24,620
2016-01-03 00:00:00,49,3,1,3,1,570
2016-01-03 01:00:00,50,3,1,3,2,530
2016-01-03 02:00:00,51,3,1,3,3,520
2016-01-03 03:00:00,52,3,1,3,4,520
2016-01-03 04:00:00,53,3,1,3,5,510
2016-01-03 05:00:00,54,3,1,3,6,550
2016-01-03 06:00:00,55,3,1,3,7,610
2016-01-03 07:00:00,56,3,1,3,8,650
2016-01-03 08:00:00,57,3,1,3,9,730
2016-01-03 09:00:00,58,3,1,3,10,700
2016-01-03 10:00:00,59,3,1,3,11,690
2016-01-03 11:00:00,60,3,1,3,12,710
2016-01-03 12:00:00,61,3,1,3,13,710
2016-01-03 13:00:00,62,3,1,3,14,650
2016-01-03 14:00:00,63,3,1,3,15,670
2016-01-03 15:00:00,64,3,1,3,16,690
2016-01-03 16:00:00,65,3,1,3,17,740
2016-01-03 17:00:00,66,3,1,3,18,740
2016-01-03 18:00:00,67,3,1,3,19,760
2016-01-03 19:00:00,68,3,1,3,20,720
2016-01-03 20:00:00,69,3,1,3,21,710
2016-01-03 21:00:00,70,3,1,3,22,670
2016-01-03 22:00:00,71,3,1,3,23,640
2016-01-03 23:00:00,72,3,1,3,24,620
2016-01-04 00:00:00,73,4,1,4,1,570
2016-01-04 01:00:00,74,4,1,4,2,530
2016-01-04 02:00:00,75,4,1,4,3,520
2016-01-04 03:00:00,76,4,1,4,4,520
2016-01-04 04:00:00,77,4,1,4,5,510
2016-01-04 05:00:00,78,4,1,4,6,550
2016-01-04 06:00:00,79,4,1,4,7,610
2016-01-04 07:00:00,80,4,1,4,8,650
2016-01-04 08:00:00,81,4,1,4,9,730
2016-01-04 09:00:00,82,4,1,4,10,700
2016-01-04 10:00:00,83,4,1,4,11,690
2016-01-04 11:00:00,84,4,1,4,12,710
2016-01-04 12:00:00,85,4,1,4,13,710
2016-01-04 13:00:00,86,4,1,4,14,650
2016-01-04 14:00:00,87,4,1,4,15,670
2016-01-04 15:00:00,88,4,1,4,16,690
2016-01-04 16:00:00,89,4,1,4,17,740
2016-01-04 17:00:00,90,4,1,4,18,740
2016-01-04 18:00:00,91,4,1,4,19,760
2016-01-04 19:00:00,92,4,1,4,20,720
2016-01-04 20:00:00,93,4,1,4,21,710
2016-01-04 21:00:00,94,4,1,4,22,670
2016-01-04 22:00:00,95,4,1,4,23,640
2016-01-04 23:00:00,96,4,1,4,24,620
2016-01-05 00:00:00,97,5,1,5,1,570
2016-01-05 01:00:00,98,5,1,5,2,530
2016-01-05 02:00:00,99,5,1,5,3,520
2016-01-05 03:00:00,100,5,1,5,4,520
2016-01-05 04:00:00,101,5,1,5,5,510
2016-01-05 05:00:00,102,5,1,5,6,550
2016-01-05 06:00:00,103,5,1,5,7,610
2016-01-05 07:00:00,104,5,1,5,8,650
2016-01-05 08:00:00,105,5,1,5,9,730
2016-01-05 09:00:00,106,5,1,5,10,700
2016-01-05 10:00:00,107,5,1,5,11,690
2016-01-05 11:00:00,108,5,1,5,12,710
2016-01-05 12:00:00,109,5,1,5,13,710
2016-01-05 13:00:00,110,5,1,5,14,650
2016-01-05 14:00:00,111,5,1,5,15,670
2016-01-05 15:00:00,112,5,1,5,16,690
2016-01-05 16:00:00,113,5,1,5,17,740
2016-01-05 17:00:00,114,5,1,5,18,740
2016-01-05 18:00:00,115,5,1,5,19,760
2016-01-05 19:00:00,116,5,1,5,20,720
2016-01-05 20:00:00,117,5,1,5,21,710
2016-01-05 21:00:00,118,5,1,5,22,670
2016-01-05 22:00:00,119,5,1,5,23,640
2016-01-05 23:00:00,120,5,1,5,24,620
2016-01-06 00:00:00,121,6,1,6,1,570
2016-01-06 01:00:00,122,6,1,6,2,530
2016-01-06 02:00:00,123,6,1,6,3,520
2016-01-06 03:00:00,124,6,1,6,4,520
2016-01-06 04:00:00,125,6,1,6,5,510
2016-01-06 05:00:00,126,6,1,6,6,550
2016-01-06 06:00:00,127,6,1,6,7,610
2016-01-06 07:00:00,128,6,1,6,8,650
2016-01-06 08:00:00,129,6,1,6,9,730
2016-01-06 09:00:00,130,6,1,6,10,700
2016-01-06 10:00:00,131,6,1,6,11,690
2016-01-06 11:00:00,132,6,1,6,12,710
2016-01-06 12:00:00,133,6,1,6,13,710
2016-01-06 13:00:00,134,6,1,6,14,650
2016-01-06 14:00:00,135,6,1,6,15,670
2016-01-06 15:00:00,136,6,1,6,16,690
2016-01-06 16:00:00,137,6,1,6,17,740
2016-01-06 17:00:00,138,6,1,6,18,740
2016-01-06 18:00:00,139,6,1,6,19,760
2016-01-06 19:00:00,140,6,1,6,20,720
2016-01-06 20:00:00,141,6,1,6,21,710
2016-01-06 21:00:00,142,6,1,6,22,670
2016-01-06 22:00:00,143,6,1,6,23,640
2016-01-06 23:00:00,144,6,1,6,24,620
2016-01-07 00:00:00,145,7,1,7,1,570
2016-01-07 01:00:00,146,7,1,7,2,530
2016-01-07 02:00:00,147,7,1,7,3,520
2016-01-07 03:00:00,148,7,1,7,4,520
2016-01-07 04:00:00,149,7,1,7,5,510
2016-01-07 05:00:00,150,7,1,7,6,550
2016-01-07 06:00:00,151,7,1,7,7,610
2016-01-07 07:00:00,152,7,1,7,8,650
2016-01-07 08:00:00,153,7,1,7,9,730
2016-01-07 09:00:00,154,7,1,7,10,700
2016-01-07 10:00:00,155,7,1,7,11,690
2016-01-07 11:00:00,156,7,1,7,12,710
2016-01-07 12:00:00,157,7,1,7,13,710
2016-01-07 13:00:00,158,7,1,7,14,650
2016-01-07 14:00:00,159,7,1,7,15,670
2016-01-07 15:00:00,160,7,1,7,16,690
2016-01-07 16:00:00,161,7,1,7,17,740
2016-01-07 17:00:00,162,7,1,7,18,740
2016-01-07 18:00:00,163,7,1,7,19,760
2016-01-07 19:00:00,164,7,1,7,20,720
2016-01-07 20:00:00,165,7,1,7,21,710
2016-01-07 21:00:00,166,7,1,7,22,670
2016-01-07 22:00:00,167,7,1,7,23,640
2016-01-07 23:00:00,168,7,1,7,24,620
2016-01-08 00:00:00,169,8,1,8,1,570
2016-01-08 01:00:00,170,8,1,8,2,530
2016-01-08 02:00:00,171,8,1,8,3,520
2016-01-08 03:00:00,172,8,1,8,4,520
2016-01-08 04:00:00,173,8,1,8,5,510
2016-01-08 05:00:00,174,8,1,8,6,550
2016-01-08 06:00:00,175,8,1,8,7,610
2016-01-08 07:00:00,176,8,1,8,8,650
2016-01-08 08:00:00,177,8,1,8,9,730
2016-01-08 09:00:00,178,8,1,8,10,700
2016-01-08 10:00:00,179,8,1,8,11,690
2016-01-08 11:00:00,180,8,1,8,12,710
2016-01-08 12:00:00,181,8,1,8,13,710
2016-01-08 13:00:00,182,8,1,8,14,650
2016-01-08 14:00:00,183,8,1,8,15,670
2016-01-08 15:00:00,184,8,1,8,16,690
2016-01-08 16:00:00,185,8,1,8,17,740
2016-01-08 17:00:00,186,8,1,8,18,740
2016-01-08 18:00:00,187,8,1,8,19,760
2016-01-08 19:00:00,188,8,1,8,20,720
2016-01-08 20:00:00,189,8,1,8,21,710
2016-01-08 21:00:00,190,8,1,8,22,670
2016-01-08 22:00:00,191,8,1,8,23,640
2016-01-08 23:00:00,192,8,1,8,24,620
2016-01-09 00:00:00,193,9,1,9,1,570
2016-01-09 01:00:00,194,9,1,9,2,530
2016-01-09 02:00:00,195,9,1,9,3,520
2016-01-09 03:00:00,196,9,1,9,4,520
2016-01-09 04:00:00,197,9,1,9,5,510
2016-01-09 05:00:00,198,9,1,9,6,550
2016-01-09 06:00:00,199,9,1,9,7,610
2016-01-09 07:00:00,200,9,1,9,8,650
2016-01-09 08:00:00,201,9,1,9,9,730
2016-01-09 09:00:00,202,9,1,9,10,700
2016-01-09 10:00:00,203,9,1,9,11,690
2016-01-09 11:00:00,204,9,1,9,12,710
2016-01-09 12:00:00,205,9,1,9,13,710
2016-01-09 13:00:00,206,9,1,9,14,650
2016-01-09 14:00:00,207,9,1,9,15,670
2016-01-09 15:00:00,208,9,1,9,16,690
