,poa_global,poa_direct,poa_diffuse,temp_air,wind_speed
2016-01-01 00:00:00+07:00,0.0,0.0,0.0,-36.19,4.8
2016-01-01 01:00:00+07:00,0.0,0.0,0.0,-35.08,4.5
2016-01-01 02:00:00+07:00,0.0,0.0,0.0,-33.96,4.2
2016-01-01 03:00:00+07:00,0.0,0.0,0.0,-32.84,3.9
2016-01-01 04:00:00+07:00,0.0,0.0,0.0,-31.72,3.6
2016-01-01 05:00:00+07:00,0.0,0.0,0.0,-30.6,3.3
2016-01-01 06:00:00+07:00,0.0,0.0,0.0,-29.49,3.1
2016-01-01 07:00:00+07:00,0.0,0.0,0.0,-28.37,2.8
2016-01-01 08:00:00+07:00,0.0,-0.0,0.0,-27.25,2.5
2016-01-01 09:00:00+07:00,0.0,-0.0,0.0,-26.13,2.2
2016-01-01 10:00:00+07:00,0.0,-0.0,0.0,-25.01,1.9
2016-01-01 11:00:00+07:00,11.89319921878713,11.863954774177001,0.02924444461012775,-23.9,1.6
2016-01-01 12:00:00+07:00,319.7449935910636,293.7393047078079,26.005688883255658,-22.78,1.3
2016-01-01 13:00:00+07:00,175.5635927678014,125.59932612399902,49.96426664380237,-21.66,1.0
2016-01-01 14:00:00+07:00,8.21039999552655,0.0,8.21039999552655,-20.54,0.7
2016-01-01 15:00:00+07:00,408.62189611822026,392.18322944906834,16.438666669151914,-22.03,0.8
2016-01-01 16:00:00+07:00,12.585073920172968,12.55582947556284,0.02924444461012775,-22.11,0.8
2016-01-01 17:00:00+07:00,0.0,-0.0,0.0,-22.19,0.8
2016-01-01 18:00:00+07:00,0.0,-0.0,0.0,-22.27,0.8
2016-01-01 19:00:00+07:00,0.0,0.0,0.0,-23.21,1.0
2016-01-01 20:00:00+07:00,0.0,0.0,0.0,-24.14,1.3
2016-01-01 21:00:00+07:00,0.0,0.0,0.0,-25.08,1.6
2016-01-01 22:00:00+07:00,0.0,0.0,0.0,-24.92,1.5
2016-01-01 23:00:00+07:00,0.0,0.0,0.0,-24.76,1.3
2016-01-02 00:00:00+07:00,0.0,0.0,0.0,-24.6,1.2
2016-01-02 01:00:00+07:00,0.0,0.0,0.0,-24.56,1.6
2016-01-02 02:00:00+07:00,0.0,0.0,0.0,-24.5,2.1
2016-01-02 03:00:00+07:00,0.0,0.0,0.0,-24.45,2.5
2016-01-02 04:00:00+07:00,0.0,0.0,0.0,-24.27,2.5
2016-01-02 05:00:00+07:00,0.0,0.0,0.0,-24.08,2.4
2016-01-02 06:00:00+07:00,0.0,0.0,0.0,-23.9,2.4
2016-01-02 07:00:00+07:00,0.0,0.0,0.0,-25.29,2.3
2016-01-02 08:00:00+07:00,0.0,-0.0,0.0,-26.68,2.2
2016-01-02 09:00:00+07:00,0.0,-0.0,0.0,-28.07,2.1
2016-01-02 10:00:00+07:00,0.0,-0.0,0.0,-27.22,2.3
2016-01-02 11:00:00+07:00,11.683785279124612,11.654540834514483,0.02924444461012775,-26.38,2.4
2016-01-02 12:00:00+07:00,147.5333196847392,111.42851970114187,36.10479998359735,-25.53,2.6
2016-01-02 13:00:00+07:00,20.982133321901184,0.0,20.982133321901184,-25.44,2.4
2016-01-02 14:00:00+07:00,9.122666661696169,0.0,9.122666661696169,-25.36,2.3
2016-01-02 15:00:00+07:00,409.1871997964177,392.71928868265564,16.467911113762042,-25.28,2.1
2016-01-02 16:00:00+07:00,12.078153069239308,12.04890862462918,0.02924444461012775,-25.65,2.2
2016-01-02 17:00:00+07:00,0.0,-0.0,0.0,-26.02,2.3
2016-01-02 18:00:00+07:00,0.0,-0.0,0.0,-26.39,2.5
2016-01-02 19:00:00+07:00,0.0,0.0,0.0,-26.65,2.2
2016-01-02 20:00:00+07:00,0.0,0.0,0.0,-26.91,1.9
2016-01-02 21:00:00+07:00,0.0,0.0,0.0,-27.17,1.7
2016-01-02 22:00:00+07:00,0.0,0.0,0.0,-27.38,1.4
2016-01-02 23:00:00+07:00,0.0,0.0,0.0,-27.59,1.2
2016-01-03 00:00:00+07:00,0.0,0.0,0.0,-27.8,0.9
2016-01-03 01:00:00+07:00,0.0,0.0,0.0,-28.05,1.3
2016-01-03 02:00:00+07:00,0.0,0.0,0.0,-28.3,1.6
2016-01-03 03:00:00+07:00,0.0,0.0,0.0,-28.55,1.9
2016-01-03 04:00:00+07:00,0.0,0.0,0.0,-28.28,2.1
2016-01-03 05:00:00+07:00,0.0,0.0,0.0,-28.02,2.2
2016-01-03 06:00:00+07:00,0.0,0.0,0.0,-27.76,2.4
2016-01-03 07:00:00+07:00,0.0,0.0,0.0,-27.71,2.4
2016-01-03 08:00:00+07:00,0.0,-0.0,0.0,-27.66,2.5
2016-01-03 09:00:00+07:00,0.0,-0.0,0.0,-27.62,2.6
2016-01-03 10:00:00+07:00,0.0,-0.0,0.0,-26.53,2.4
2016-01-03 11:00:00+07:00,11.45854405712358,11.429299612513452,0.02924444461012775,-25.45,2.3
2016-01-03 12:00:00+07:00,58.371772573334944,24.50092814661862,33.870844426716324,-24.36,2.2
2016-01-03 13:00:00+07:00,9.122666661696169,0.0,9.122666661696169,-23.98,2.3
2016-01-03 14:00:00+07:00,9.122666661696169,0.0,9.122666661696169,-23.59,2.4
2016-01-03 15:00:00+07:00,415.43733532457884,398.9109353215965,16.5264000029823,-23.21,2.5
2016-01-03 16:00:00+07:00,11.58499242566315,11.555747981053022,0.02924444461012775,-23.22,2.5
2016-01-03 17:00:00+07:00,0.0,-0.0,0.0,-23.23,2.5
2016-01-03 18:00:00+07:00,0.0,-0.0,0.0,-23.23,2.5
2016-01-03 19:00:00+07:00,0.0,0.0,0.0,-22.97,2.2
2016-01-03 20:00:00+07:00,0.0,0.0,0.0,-22.7,2.0
2016-01-03 21:00:00+07:00,0.0,0.0,0.0,-22.44,1.7
2016-01-03 22:00:00+07:00,0.0,0.0,0.0,-22.54,1.7
2016-01-03 23:00:00+07:00,0.0,0.0,0.0,-22.65,1.7
2016-01-04 00:00:00+07:00,0.0,0.0,0.0,-22.75,1.6
2016-01-04 01:00:00+07:00,0.0,0.0,0.0,-22.93,1.7
2016-01-04 02:00:00+07:00,0.0,0.0,0.0,-23.11,1.7
2016-01-04 03:00:00+07:00,0.0,0.0,0.0,-23.28,1.8
2016-01-04 04:00:00+07:00,0.0,0.0,0.0,-23.32,1.8
2016-01-04 05:00:00+07:00,0.0,0.0,0.0,-23.36,1.8
2016-01-04 06:00:00+07:00,0.0,0.0,0.0,-23.4,1.8
2016-01-04 07:00:00+07:00,0.0,0.0,0.0,-23.48,1.9
2016-01-04 08:00:00+07:00,0.0,-0.0,0.0,-23.56,2.1
2016-01-04 09:00:00+07:00,0.0,-0.0,0.0,-23.64,2.3
2016-01-04 10:00:00+07:00,0.0,-0.0,0.0,-22.94,2.1
2016-01-04 11:00:00+07:00,5.4735999970177005,0.0,5.4735999970177005,-22.25,2.0
2016-01-04 12:00:00+07:00,72.09240891739546,36.338542269119635,35.75386664827582,-21.56,1.8
2016-01-04 13:00:00+07:00,9.122666661696169,0.0,9.122666661696169,-21.22,1.9
2016-01-04 14:00:00+07:00,9.122666661696169,0.0,9.122666661696169,-20.88,2.0
2016-01-04 15:00:00+07:00,421.1383366810582,404.55344778885564,16.584888892202553,-20.54,2.0
2016-01-04 16:00:00+07:00,11.111072291567135,11.081827846957006,0.02924444461012775,-20.21,2.3
2016-01-04 17:00:00+07:00,0.0,-0.0,0.0,-19.88,2.5
2016-01-04 18:00:00+07:00,0.0,-0.0,0.0,-19.55,2.7
2016-01-04 19:00:00+07:00,0.0,0.0,0.0,-19.75,2.9
2016-01-04 20:00:00+07:00,0.0,0.0,0.0,-19.95,3.1
2016-01-04 21:00:00+07:00,0.0,0.0,0.0,-20.15,3.4
2016-01-04 22:00:00+07:00,0.0,0.0,0.0,-19.95,3.4
2016-01-04 23:00:00+07:00,0.0,0.0,0.0,-19.76,3.4
2016-01-05 00:00:00+07:00,0.0,0.0,0.0,-19.57,3.4
2016-01-05 01:00:00+07:00,0.0,0.0,0.0,-19.53,3.3
2016-01-05 02:00:00+07:00,0.0,0.0,0.0,-19.49,3.2
2016-01-05 03:00:00+07:00,0.0,0.0,0.0,-19.45,3.1
2016-01-05 04:00:00+07:00,0.0,0.0,0.0,-19.49,3.0
2016-01-05 05:00:00+07:00,0.0,0.0,0.0,-19.53,2.9
2016-01-05 06:00:00+07:00,0.0,0.0,0.0,-19.57,2.8
2016-01-05 07:00:00+07:00,0.0,0.0,0.0,-21.25,2.7
2016-01-05 08:00:00+07:00,0.0,-0.0,0.0,-22.93,2.7
2016-01-05 09:00:00+07:00,0.0,-0.0,0.0,-24.61,2.6
2016-01-05 10:00:00+07:00,0.0,-0.0,0.0,-23.64,2.9
2016-01-05 11:00:00+07:00,7.298133329356934,0.0,7.298133329356934,-22.68,3.1
2016-01-05 12:00:00+07:00,91.51527340135911,53.849140086913685,37.66613331444543,-21.71,3.3
2016-01-05 13:00:00+07:00,15.508533324883484,0.0,15.508533324883484,-21.45,3.2
2016-01-05 14:00:00+07:00,9.122666661696169,0.0,9.122666661696169,-21.2,3.1
2016-01-05 15:00:00+07:00,427.21817330837206,409.6625288607796,17.555644447592428,-20.95,3.1
2016-01-05 16:00:00+07:00,218.5470715663155,212.48858267709525,6.058488889220255,-21.14,3.2
2016-01-05 17:00:00+07:00,0.0,-0.0,0.0,-21.33,3.3
2016-01-05 18:00:00+07:00,0.0,-0.0,0.0,-21.51,3.4
2016-01-05 19:00:00+07:00,0.0,0.0,0.0,-21.94,3.4
2016-01-05 20:00:00+07:00,0.0,0.0,0.0,-22.37,3.4
2016-01-05 21:00:00+07:00,0.0,0.0,0.0,-22.8,3.4
2016-01-05 22:00:00+07:00,0.0,0.0,0.0,-22.69,3.5
2016-01-05 23:00:00+07:00,0.0,0.0,0.0,-22.59,3.6
2016-01-06 00:00:00+07:00,0.0,0.0,0.0,-22.49,3.7
2016-01-06 01:00:00+07:00,0.0,0.0,0.0,-22.34,3.8
2016-01-06 02:00:00+07:00,0.0,0.0,0.0,-22.2,3.9
2016-01-06 03:00:00+07:00,0.0,0.0,0.0,-22.07,3.9
2016-01-06 04:00:00+07:00,0.0,0.0,0.0,-21.76,4.1
2016-01-06 05:00:00+07:00,0.0,0.0,0.0,-21.46,4.2
2016-01-06 06:00:00+07:00,0.0,0.0,0.0,-21.16,4.3
2016-01-06 07:00:00+07:00,0.0,0.0,0.0,-20.45,4.7
2016-01-06 08:00:00+07:00,0.0,-0.0,0.0,-19.74,5.1
2016-01-06 09:00:00+07:00,0.0,-0.0,0.0,-19.04,5.5
2016-01-06 10:00:00+07:00,0.0,-0.0,0.0,-17.99,5.6
2016-01-06 11:00:00+07:00,8.21039999552655,0.0,8.21039999552655,-16.94,5.7
2016-01-06 12:00:00+07:00,36.040834338550084,5.906789910342603,30.134044428207478,-15.89,5.8
2016-01-06 13:00:00+07:00,20.069866655731566,0.0,20.069866655731566,-15.27,5.7
2016-01-06 14:00:00+07:00,9.122666661696169,0.0,9.122666661696169,-14.66,5.6
2016-01-06 15:00:00+07:00,431.8745442989363,414.2604109621236,17.61413333681268,-14.05,5.5
2016-01-06 16:00:00+07:00,230.20589669836502,224.0889189199245,6.116977778440511,-13.92,5.4
2016-01-06 17:00:00+07:00,0.0,-0.0,0.0,-13.79,5.2
2016-01-06 18:00:00+07:00,0.0,-0.0,0.0,-13.66,5.1
2016-01-06 19:00:00+07:00,0.0,0.0,0.0,-13.75,5.0
2016-01-06 20:00:00+07:00,0.0,0.0,0.0,-13.84,4.8
2016-01-06 21:00:00+07:00,0.0,0.0,0.0,-13.93,4.6
2016-01-06 22:00:00+07:00,0.0,0.0,0.0,-14.2,4.5
2016-01-06 23:00:00+07:00,0.0,0.0,0.0,-14.47,4.4
2016-01-07 00:00:00+07:00,0.0,0.0,0.0,-14.74,4.2
2016-01-07 01:00:00+07:00,0.0,0.0,0.0,-15.09,4.1
2016-01-07 02:00:00+07:00,0.0,0.0,0.0,-15.44,3.9
2016-01-07 03:00:00+07:00,0.0,0.0,0.0,-15.78,3.7
2016-01-07 04:00:00+07:00,0.0,0.0,0.0,-16.07,3.5
2016-01-07 05:00:00+07:00,0.0,0.0,0.0,-16.35,3.4
2016-01-07 06:00:00+07:00,0.0,0.0,0.0,-16.64,3.2
2016-01-07 07:00:00+07:00,0.0,0.0,0.0,-17.97,3.1
2016-01-07 08:00:00+07:00,0.0,-0.0,0.0,-19.3,3.0
2016-01-07 09:00:00+07:00,0.0,-0.0,0.0,-20.63,3.0
2016-01-07 10:00:00+07:00,0.0,-0.0,0.0,-20.04,3.1
2016-01-07 11:00:00+07:00,3.649066664678467,0.0,3.649066664678467,-19.45,3.2
2016-01-07 12:00:00+07:00,138.75404988487395,99.02942768120826,39.72462220366569,-18.86,3.3
2016-01-07 13:00:00+07:00,28.280266651258117,0.0,28.280266651258117,-18.89,3.0
