location,Верхоянск,Верхоянск,Верхоянск,Верхоянск,Верхоянск,Верхоянск,Верхоянск,Верхоянск,Верхоянск,Верхоянск,Верхоянск,Верхоянск,Верхоянск,Верхоянск,Верхоянск,Верхоянск,Верхоянск,Верхоянск
lat,67.58778,67.58778,67.58778,67.58778,67.58778,67.58778,67.58778,67.58778,67.58778,67.58778,67.58778,67.58778,67.58778,67.58778,67.58778,67.58778,67.58778,67.58778
lon,133.59375,133.59375,133.59375,133.59375,133.59375,133.59375,133.59375,133.59375,133.59375,133.59375,133.59375,133.59375,133.59375,133.59375,133.59375,133.59375,133.59375,133.59375
asl,243.476,243.476,243.476,243.476,243.476,243.476,243.476,243.476,243.476,243.476,243.476,243.476,243.476,243.476,243.476,243.476,243.476,243.476
variable,Temperature,Precipitation Total,Precipitation Runoff,Relative Humidity,Snowfall Amount,Snow Depth,Wind Speed,Wind Direction,Cloud Cover Total,Cloud Cover High,Cloud Cover Medium,Cloud Cover Low,Total Column Cloud Ice,Sunshine Duration,Shortwave Radiation,Direct Shortwave Radiation,Diffuse Shortwave Radiation,Mean Sea Level Pressure
unit,°C,mm,mm,%,cm,m,km/h,°,%,%,%,%,mm,min,W/m²,W/m²,W/m²,hPa
level,2 m elevation corrected,sfc,sfc,2 m,sfc,sfc,10 m,10 m,sfc,high cld lay,mid cld lay,low cld lay,atmos col,sfc,sfc,sfc,sfc,MSL
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
timestamp,Верхоянск Temperature [2 m elevation corrected],Верхоянск Precipitation Total,Верхоянск Precipitation Runoff,Верхоянск Relative Humidity [2 m],Верхоянск Snowfall Amount,Верхоянск Snow Depth,Верхоянск Wind Speed [10 m],Верхоянск Wind Direction [10 m],Верхоянск Cloud Cover Total,Верхоянск Cloud Cover High [high cld lay],Верхоянск Cloud Cover Medium [mid cld lay],Верхоянск Cloud Cover Low [low cld lay],Верхоянск Total Column Cloud Ice [atmos col],Верхоянск Sunshine Duration,Верхоянск Shortwave Radiation,Верхоянск Direct Shortwave Radiation,Верхоянск Diffuse Shortwave Radiation,Верхоянск Mean Sea Level Pressure [MSL]
20190101T0000,-33.697403,0.0,0.0,81.09953,0.0,0.01,12.10157,210.37914,16.2,54.0,0.0,0.0,0.00061,0.0,0.0,0.0,0.0,1020.7
20190101T0100,-33.447403,0.0,0.0,79.45306,0.0,0.01,10.990322,211.6075,29.1,97.0,0.0,0.0,0.003905,0.0,0.0,0.0,0.0,1020.4
20190101T0200,-33.237404,0.0,0.0,77.5976,0.0,0.01,11.119281,209.05461,30.000002,100.0,0.0,0.0,0.00848,0.0,0.0,0.0,0.0,1020.3
20190101T0300,-32.047405,0.0,0.0,76.90127,0.0,0.01,7.8625183,195.9454,30.000002,100.0,0.0,0.0,0.016845,0.0,0.0,0.0,0.0,1019.6
20190101T0400,-31.297403,0.0,0.0,75.80446,0.0,0.01,6.379216,196.38954,73.0,100.0,73.0,0.0,0.046505,0.0,0.0,0.0,0.0,1018.9
20190101T0500,-30.517405,0.0,0.0,75.63903,0.0,0.01,7.072878,194.74356,73.0,100.0,73.0,4.0,0.066345,0.0,0.0,0.0,0.0,1017.9
20190101T0600,-29.937405,0.0,0.0,75.57104,0.0,0.01,7.771331,193.3925,25.800001,86.0,2.0,8.0,0.01135,0.0,0.0,0.0,0.0,1017.7
20190101T0700,-29.427404,0.0,0.0,76.30289,0.0,0.01,7.072878,194.74356,17.1,57.0,0.0,1.0,0.000425,0.0,0.0,0.0,0.0,1016.3
20190101T0800,-30.197405,0.0,0.0,75.9496,0.0,0.01,7.072878,194.74356,60.0,1.0,7.0,60.0,0.00018,0.0,0.0,0.0,0.0,1016.4
20190101T0900,-30.247404,0.0,0.0,76.53817,0.0,0.01,7.2805495,188.53076,11.0,0.0,11.0,7.0,0.00122,0.0,0.0,0.0,0.0,1015.3
20190101T1000,-29.977404,0.0,0.0,76.98673,0.0,0.01,8.473393,192.26477,14.0,0.0,10.0,14.0,0.00262,0.0,0.0,0.0,0.0,1014.5
20190101T1100,-29.497404,0.0,0.0,77.792725,0.0,0.01,8.12197,192.80426,4.0,0.0,4.0,2.0,0.00183,0.0,0.0,0.0,0.0,1013.4
20190101T1200,-29.457403,0.0,0.0,80.27122,0.0,0.01,10.182337,188.1301,35.0,0.0,0.0,35.0,0.000485,0.0,0.0,0.0,0.0,1012.1
20190101T1300,-29.027405,0.0,0.0,82.26404,0.0,0.01,12.429127,190.00798,30.0,0.0,0.0,30.0,0.00015,27.268087,0.0,0.0,0.0,1011.1
20190101T1400,-30.817404,0.0,0.0,85.22853,0.0,0.01,12.074766,190.30484,44.0,0.0,0.0,44.0,6e-05,30.718084,0.0,0.0,0.0,1010.4
20190101T1500,-31.727406,0.0,0.0,89.34521,0.0,0.01,11.013882,191.30994,29.0,0.0,0.0,29.0,0.00012,0.0,0.0,0.0,0.0,1009.5
20190101T1600,-29.557404,0.0,0.0,90.93673,0.0,0.01,9.9571085,192.52881,29.0,0.0,0.0,29.0,0.00018,0.0,0.0,0.0,0.0,1009.3
20190101T1700,-28.687405,0.0,0.0,89.09111,0.0,0.01,7.4128532,209.05461,26.0,0.0,1.0,26.0,0.000485,0.0,0.0,0.0,0.0,1008.8
20190101T1800,-29.967403,0.0,0.0,92.9135,0.0,0.01,5.692099,235.30484,75.0,0.0,75.0,13.0,0.009215,0.0,0.0,0.0,0.0,1009.5
20190101T1900,-33.867405,0.0,0.0,93.63043,0.0,0.01,4.896529,252.89728,73.0,0.0,73.0,7.0,0.0119,0.0,0.0,0.0,0.0,1009.6
20190101T2000,-31.667404,0.0,0.0,92.5742,0.0,0.01,5.0528407,265.91437,54.0,0.0,54.0,7.0,0.005885,0.0,0.0,0.0,0.0,1009.0
20190101T2100,-31.787403,0.0,0.0,88.02229,0.0,0.01,6.439876,243.43495,35.0,0.0,35.0,2.0,0.00323,0.0,0.0,0.0,0.0,1009.8
20190101T2200,-33.317406,0.0,0.0,85.55797,0.0,0.01,8.217153,241.18921,22.0,0.0,22.0,4.0,0.002135,0.0,0.0,0.0,0.0,1010.2
20190101T2300,-33.307404,0.0,0.0,80.4591,0.0,0.01,9.885262,236.88866,45.0,0.0,45.0,1.0,0.003905,0.0,0.0,0.0,0.0,1010.7
20190102T0000,-32.627403,0.0,0.0,74.00392,0.0,0.01,9.504272,232.69606,79.0,0.0,79.0,2.0,0.020505,0.0,0.0,0.0,0.0,1011.1
20190102T0100,-32.647404,0.0,0.0,71.63505,0.0,0.01,6.3690495,227.29062,86.0,0.0,86.0,1.0,0.028135,0.0,0.0,0.0,0.0,1010.9
20190102T0200,-31.677402,0.0,0.0,70.77447,0.0,0.01,5.8603754,227.48956,94.0,0.0,94.0,0.0,0.03137,0.0,0.0,0.0,0.0,1011.2
20190102T0300,-30.827404,0.0,0.0,69.48338,0.0,0.01,6.1094027,225.0,100.0,0.0,100.0,2.0,0.03033,0.0,0.0,0.0,0.0,1011.5
20190102T0400,-30.667404,0.0,0.0,68.7714,0.0,0.01,7.145796,220.91438,95.0,0.0,95.0,17.0,0.017085,0.0,0.0,0.0,0.0,1011.8
20190102T0500,-30.847404,0.0,0.0,68.5091,0.0,0.01,6.9153743,218.65982,85.0,0.0,85.0,39.0,0.009335,0.0,0.0,0.0,0.0,1011.7
20190102T0600,-29.497404,0.0,0.0,69.61134,0.0,0.01,6.638072,220.6013,95.0,0.0,95.0,39.0,0.01251,0.0,0.0,0.0,0.0,1012.2
20190102T0700,-29.087404,0.0,0.0,69.59755,0.0,0.01,6.4096174,218.15723,83.0,0.0,83.0,52.0,0.017575,0.0,0.0,0.0,0.0,1012.5
20190102T0800,-28.457403,0.0,0.0,69.51343,0.0,0.01,7.10031,210.46555,97.0,0.0,97.0,73.0,0.008235,0.0,0.0,0.0,0.0,1012.3
20190102T0900,-28.237404,0.0,0.0,70.330826,0.0,0.01,6.989936,214.50853,92.0,0.0,92.0,48.0,0.00302,0.0,0.0,0.0,0.0,1012.4
20190102T1000,-28.477404,0.0,0.0,71.019966,0.0,0.01,7.491114,215.21759,83.0,0.0,83.0,48.0,0.005275,0.0,0.0,0.0,0.0,1012.6
20190102T1100,-28.857405,0.0,0.0,70.90902,0.0,0.01,6.9247384,207.89728,73.0,0.0,73.0,36.0,0.00177,0.0,0.0,0.0,0.0,1012.5
20190102T1200,-28.757404,0.0,0.0,70.591385,0.0,0.01,10.315115,209.24883,76.0,0.0,76.0,32.0,0.00186,0.0,0.0,0.0,0.0,1012.7
