Latitude (decimal degrees): 67.554
Longitude (decimal degrees): 133.390
Elevation (m): 141.0
month,year
1,2019
2,2005
3,2016
4,2008
5,2017
6,2010
7,2010
8,2009
9,2008
10,2013
11,2013
12,2017
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20190101:0000,-30.31,75.19,0.0,-0.0,0.0,164.02,1.19,191.0,99775.0
20190101:0100,-30.08,75.41,0.0,-0.0,0.0,162.03,1.27,190.0,99667.0
20190101:0200,-29.86,75.63,0.0,-0.0,0.0,160.04,1.35,189.0,99539.0
20190101:0300,-29.64,75.85,0.0,-0.0,0.0,158.05,1.43,189.0,99441.0
20190101:0400,-29.41,76.07,0.0,-0.0,0.0,156.06,1.51,189.0,99362.0
20190101:0500,-29.19,76.29,0.0,-0.0,0.0,154.07,1.59,188.0,99264.0
20190101:0600,-28.97,76.51,0.0,-0.0,0.0,152.08,1.67,189.0,99244.0
20190101:0700,-28.74,76.73,0.0,-0.0,0.0,150.09,1.75,183.0,99195.0
20190101:0800,-28.43,75.95,0.0,-0.0,0.0,162.15,0.48,189.0,99264.0
20190101:0900,-28.93,75.6,0.0,-0.0,0.0,176.4,0.34,247.0,99264.0
20190101:1000,-29.61,75.1,0.0,-0.0,0.0,170.85,0.48,268.0,99215.0
20190101:1100,-30.4,75.0,0.0,-0.0,0.0,170.45,0.69,248.0,99303.0
20190101:1200,-31.83,74.65,0.0,-0.0,0.0,153.45,1.03,240.0,99333.0
20190101:1300,-32.97,74.35,0.0,-0.0,0.0,151.75,1.17,233.0,99382.0
20190101:1400,-33.34,73.95,0.0,-0.0,0.0,156.55,1.17,224.0,99421.0
20190101:1500,-33.05,73.0,0.0,-0.0,0.0,167.15,1.17,219.0,99402.0
20190101:1600,-32.15,72.3,0.0,-0.0,0.0,181.45,1.17,217.0,99441.0
20190101:1700,-31.76,72.05,0.0,-0.0,0.0,173.15,1.45,219.0,99461.0
20190101:1800,-31.17,71.55,0.0,-0.0,0.0,175.65,1.45,216.0,99490.0
20190101:1900,-30.81,70.45,0.0,-0.0,0.0,169.65,1.66,217.0,99490.0
20190101:2000,-30.97,70.55,0.0,-0.0,0.0,164.45,1.66,216.0,99529.0
20190101:2100,-30.84,70.55,0.0,-0.0,0.0,172.35,1.52,213.0,99559.0
20190101:2200,-30.29,70.9,0.0,-0.0,0.0,182.4,1.38,209.0,99539.0
20190101:2300,-29.69,70.9,0.0,-0.0,0.0,185.1,1.38,208.0,99559.0
20190102:0000,-29.41,70.9,0.0,-0.0,0.0,177.0,1.52,211.0,99579.0
20190102:0100,-29.55,71.05,0.0,-0.0,0.0,167.8,1.59,211.0,99559.0
20190102:0200,-30.23,71.7,0.0,-0.0,0.0,157.5,1.66,208.0,99579.0
20190102:0300,-31.12,72.6,0.0,-0.0,0.0,153.1,1.66,206.0,99549.0
20190102:0400,-31.96,73.1,0.0,-0.0,0.0,149.25,1.66,208.0,99579.0
20190102:0500,-32.28,73.35,0.0,-0.0,0.0,153.45,1.59,208.0,99579.0
20190102:0600,-32.86,73.75,0.0,-0.0,0.0,147.1,1.59,210.0,99618.0
20190102:0700,-31.87,73.8,0.0,-0.0,0.0,144.8,1.45,210.0,99638.0
20190102:0800,-32.2,74.2,0.0,-0.0,0.0,144.4,1.38,207.0,99657.0
20190102:0900,-32.2,74.15,0.0,-0.0,0.0,143.05,1.31,206.0,99677.0
20190102:1000,-32.26,74.3,0.0,-0.0,0.0,142.85,1.17,204.0,99667.0
20190102:1100,-32.49,74.25,0.0,-0.0,0.0,142.65,1.17,203.0,99716.0
20190102:1200,-32.95,74.2,0.0,-0.0,0.0,143.45,1.17,201.0,99736.0
20190102:1300,-33.53,74.6,0.0,-0.0,0.0,141.7,1.24,203.0,99746.0
20190102:1400,-34.04,74.65,0.0,-0.0,0.0,142.1,1.24,204.0,99765.0
20190102:1500,-34.19,74.45,0.0,-0.0,0.0,142.3,1.24,201.0,99726.0
20190102:1600,-33.89,73.7,0.0,-0.0,0.0,152.1,1.1,196.0,99765.0
20190102:1700,-33.2,72.6,0.0,-0.0,0.0,155.2,0.97,188.0,99736.0
20190102:1800,-32.57,71.45,0.0,-0.0,0.0,167.15,0.69,187.0,99726.0
20190102:1900,-31.17,68.35,0.0,-0.0,0.0,191.45,0.48,193.0,99697.0
20190102:2000,-30.72,68.4,0.0,-0.0,0.0,194.75,0.41,211.0,99716.0
20190102:2100,-30.27,69.45,0.0,-0.0,0.0,203.05,0.34,249.0,99746.0
20190102:2200,-29.6,69.85,0.0,-0.0,0.0,209.2,0.28,258.0,99736.0
20190102:2300,-29.24,70.95,0.0,-0.0,0.0,206.5,0.34,267.0,99824.0
20190103:0000,-29.24,72.0,0.0,-0.0,0.0,198.2,0.55,268.0,99854.0
20190103:0100,-29.03,72.4,0.0,-0.0,0.0,201.35,0.55,261.0,99913.0
20190103:0200,-28.86,72.7,0.0,-0.0,0.0,202.05,0.62,241.0,99943.0
20190103:0300,-28.72,72.75,0.0,-0.0,0.0,200.15,0.83,228.0,99972.0
20190103:0400,-28.64,73.15,0.0,-0.0,0.0,197.8,1.03,224.0,100021.0
20190103:0500,-28.53,73.2,0.0,-0.0,0.0,197.45,1.24,218.0,100080.0
20190103:0600,-28.29,72.75,0.0,-0.0,0.0,196.3,1.45,212.0,100129.0
20190103:0700,-28.18,71.6,0.0,-0.0,0.0,180.1,1.72,205.0,100139.0
20190103:0800,-28.57,71.6,0.0,-0.0,0.0,164.1,1.86,200.0,100169.0
20190103:0900,-28.92,71.8,0.0,-0.0,0.0,153.85,2.0,196.0,100198.0
20190103:1000,-29.04,72.35,0.0,-0.0,0.0,148.85,2.14,194.0,100247.0
20190103:1100,-29.19,72.95,0.0,-0.0,0.0,141.15,2.21,191.0,100208.0
20190103:1200,-29.2,73.4,0.0,-0.0,0.0,140.15,2.21,190.0,100208.0
20190103:1300,-29.13,73.45,0.0,-0.0,0.0,141.5,2.28,186.0,100179.0
20190103:1400,-29.11,72.95,0.0,-0.0,0.0,140.75,2.28,185.0,100120.0
20190103:1500,-29.14,72.15,0.0,-0.0,0.0,140.15,2.28,186.0,100080.0
20190103:1600,-29.25,71.7,0.0,-0.0,0.0,140.35,2.28,186.0,100041.0
20190103:1700,-29.32,71.6,0.0,-0.0,0.0,145.0,2.34,183.0,99982.0
20190103:1800,-29.26,71.35,0.0,-0.0,0.0,151.35,2.28,182.0,99903.0
20190103:1900,-28.81,71.6,0.0,-0.0,0.0,155.2,2.34,181.0,99854.0
20190103:2000,-28.78,71.75,0.0,-0.0,0.0,155.4,2.28,180.0,99765.0
20190103:2100,-28.54,71.8,0.0,-0.0,0.0,163.1,2.21,179.0,99726.0
20190103:2200,-28.36,72.2,0.0,-0.0,0.0,165.45,2.14,180.0,99618.0
20190103:2300,-28.0,72.4,0.0,-0.0,0.0,172.35,2.07,182.0,99579.0
20190104:0000,-27.58,72.5,0.0,-0.0,0.0,177.75,1.93,188.0,99529.0
20190104:0100,-27.15,72.85,0.0,-0.0,0.0,182.85,1.79,191.0,99480.0
20190104:0200,-26.59,72.9,0.0,-0.0,0.0,192.05,1.72,188.0,99402.0
20190104:0300,-26.31,73.6,0.0,-0.0,0.0,187.0,1.59,189.0,99362.0
20190104:0400,-25.98,74.1,0.0,-0.0,0.0,193.95,1.38,194.0,99343.0
20190104:0500,-26.41,75.65,0.0,-0.0,0.0,179.5,1.1,204.0,99343.0
20190104:0600,-25.75,75.9,0.0,-0.0,0.0,179.3,0.62,234.0,99343.0
20190104:0700,-25.16,76.0,0.0,-0.0,0.0,186.25,0.34,210.0,99362.0
20190104:0800,-25.73,77.2,0.0,-0.0,0.0,180.65,0.28,285.0,99372.0
20190104:0900,-26.37,77.1,0.0,-0.0,0.0,185.5,0.34,304.0,99441.0
20190104:1000,-26.83,76.95,0.0,-0.0,0.0,187.2,0.48,294.0,99372.0
20190104:1100,-27.39,76.75,0.0,-0.0,0.0,186.05,0.62,284.0,99421.0
